event_id,event_date,event_type,event_name,company,description,impact_level,media_coverage,social_media_heat,career_discussion,source_url,keywords,notes
E018,2025-09-24,tech_positive,通义千问Qwen3-Coder发布,阿里云,通义千问Qwen3-Coder是阿里云于2025年9月24日在云栖大会上发布的编程模型，该模型在编程能力和代码理解方面实现重大突破。Qwen3-Coder基于通义千问Qwen3系列，预训练数据量达36T tokens，总参数超过万亿，在涵盖知识问答、逻辑推理、多语言理解、编程、指令遵循及人机对齐的综合基准评测中均达到业界领先水平。,low,medium,微博热搜,引发职业替代讨论,https://example.com,通义千问Qwen3-Coder发布;AI应用/产品发布;阿里云,
E019,2025-09-30,tech_positive,Claude Sonnet 4.5发布,Anthropic,"Claude Sonnet 4.5是Anthropic于2025年9月30日正式发布的升级版模型，该版本在编码、计算机使用、推理、长任务能力及安全对齐上实现全面拔高，被官方称为""新一代编程模型王者""。相比前代，该模型在SWE-bench编码基准测试中获得72.7%的成绩，支持更长的上下文窗口，能够在复杂任务中保持更高的一致性。",low,medium,微博热搜,引发职业替代讨论,https://example.com,Claude;大模型发布;Anthropic,
E020,2025-10-15,tech_positive,Google Veo 3.1发布,谷歌DeepMind,Google Veo 3.1是谷歌于2025年10月15日正式发布的新一代AI视频生成模型，支持生成720p/1080p分辨率、最长148秒的视频片段，并集成至Flow电影制作平台、Gemini API及Vertex AI平台。该模型在前代基础上增强了对对话、环境音效及其他音频元素的处理能力，原生音频生成现已全面集成到Flow平台的三大核心功能中。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Google;多模态技术突破;谷歌DeepMind,
E021,2025-10-15,tech_positive,Veo 3.1发布,谷歌DeepMind,Veo 3.1是谷歌于2025年10月15日正式发布的新一代AI视频生成模型，支持生成720p/1080p分辨率、最长148秒的视频片段，并集成至Flow电影制作平台、Gemini API及Vertex AI平台。该模型在前代基础上增强了对对话、环境音效及其他音频元素的处理能力，原生音频生成现已全面集成到Flow平台的三大核心功能中。,low,medium,微博热搜,技术讨论,https://example.com,Veo;多模态技术突破;谷歌DeepMind,
E022,2025-10-16,tech_positive,Sora 2发布,OpenAI,"Sora 2是OpenAI于2025年10月16日发布的视频生成工具重大更新，直接击中了此前用户反馈最多的""时长太短""和""控制不足""两大痛点。此次更新使免费用户视频生成时长从原来的10秒提升至15秒，Pro用户支持制作25秒视频，Pro用户更是解锁了""分镜控制""的新能力。",low,medium,微博热搜,技术讨论,https://example.com,Sora;多模态技术突破;OpenAI,
E023,2025-10-17,tech_positive,Runway Gen-3发布,Runway,Runway Gen-3是Runway于2025年10月17日发布的视频生成模型，该模型在保真度、一致性和精细程度上实现重大突破，画面细节达到电影级画质。Gen-3使用视频和图像联合训练，能够实现90秒内快速生成10秒视频，支持并行生成多个视频，模型驱动新的文本到视频（T2V）、图像到视频（I2V）和文本到图像（T2I）功能。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Runway;多模态技术突破;Runway,
E024,2025-10-28,tech_positive,海螺2.3发布,MiniMax稀宇极智,海螺2.3是MiniMax稀宇极智于2025年10月28日发布的视频生成模型，在动态表现力、风格化呈现和人物表演细腻度方面较前代有所提升。该模型强化了物理模拟与指令遵循能力，可精准呈现复杂人体动作序列，无论是翻转、舞蹈等大幅度动态，还是细微肢体变化，均能达到近乎实拍的视觉效果。,low,medium,微博热搜,引发职业替代讨论,https://example.com,海螺2.3发布;多模态技术突破;MiniMax稀宇极智,
E025,2025-11-13,tech_positive,GPT-5.1发布,OpenAI,GPT-5.1是OpenAI于2025年11月13日正式推出的GPT-5升级版本，主要改进在于速度优化和推理效率提升。该版本支持自动切换响应模式与个性化交互选项，适用于编程、数学推导和健康咨询等领域。在医疗健康领域，GPT-5.1通过动态适应用户背景、知识储备及地域特征，提供更精准的健康指导。,low,medium,微博热搜,引发职业替代讨论,https://example.com,GPT-5.1发布;大模型发布;OpenAI,
E026,2025-11-13,tech_positive,文心一言5.0Preview版发布,百度,文心一言5.0Preview版是百度于2025年11月13日发布的原生全模态大模型预览版本，于2026年1月22日上线正式版。该模型参数达2.4万亿，采用原生全模态统一建模技术，具备全模态理解与生成能力，支持文本、图像、音频、视频等多种信息的输入与输出。,low,medium,微博热搜,引发职业替代讨论,https://example.com,文心一言5.0Preview版发布;大模型发布;百度,
E027,2025-11-23,tech_positive,文心一言5.0正式版发布,百度,文心一言5.0正式版是百度于2025年11月23日发布的原生全模态大模型，参数达2.4万亿，采用原生全模态统一建模技术，具备全模态理解与生成能力，支持文本、图像、音频、视频等多种信息的输入与输出。,low,medium,微博热搜,引发职业替代讨论,https://example.com,文心一言5.0正式版发布;大模型发布;百度,
E028,2025-12-15,tech_positive,通义千问Qwen3-Omni发布,阿里云,通义千问Qwen3-Omni是阿里云于2025年12月15日正式发布的原生全模态大模型，能够无缝处理文本、图像、音频和视频等多种输入形式，并通过实时流式响应同时生成文本与自然语音输出。该模型在多项基准测试中表现优异，特别是在多模态理解与生成能力上处于行业领先地位。,low,medium,微博热搜,引发职业替代讨论,https://example.com,通义千问Qwen3-Omni发布;大模型发布;阿里云,
E029,2025-12-22,tech_positive,Kimi K2 Thinking发布,月之暗面,"Kimi K2 Thinking是月之暗面于2025年12月22日发布的模型，基于""模型即Agent""理念研发，原生支持""边思考，边使用工具""的操作模式。在Humanity's Last Exam、自主网络浏览能力（BrowseComp）、复杂信息收集推理（SEAL-0）等多项基准测试中，K2 Thinking达到SOTA水平，在Agentic搜索、Agentic编程、写作及综合推理能力方面实现显",low,medium,微博热搜,引发职业替代讨论,https://example.com,Kimi;AI应用/产品发布;月之暗面,
E030,2025-12-22,tech_positive,智源Emu3.5发布,中国科学院自动化研究所,"智源Emu3.5是智源研究团队于2025年12月22日发布的原生多模态世界模型，实现了从""预测下一个词元""到""预测下一个状态""的能力跃迁，从长视频数据中学习世界演化规律，提出多模态Scaling新范式。",low,medium,微博热搜,引发职业替代讨论,https://example.com,智源Emu3.5发布;多模态技术突破;中国科学院自动化研究所,
E031,2025-12-23,tech_positive,智谱GLM-4.7发布,智谱AI,智谱GLM-4.7是智谱AI于2025年12月23日发布的旗舰级大模型，在多项主流公开基准测试中取得开源模型中的领先表现。具体在Code Arena中位列开源第一、国产第一，并超越了GPT-5.2；在HLE基准测试中获得42.8%的成绩，较上一代GLM-4.6提升41%，并超越了GPT-5.1；在τ2-Bench交互式工具调用评测中得分87.4分，刷新开源记录。,low,medium,微博热搜,引发职业替代讨论,https://example.com,智谱GLM-4.7发布;大模型发布;智谱AI,
E032,2026-01-15,job_negative,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,job_negative,历史事件
E033,2026-03-10,policy,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,policy,历史事件
