AI 技术事件数据库（2024.10 — 2026.03）,,,,,,,,,,
论文《AI 技术事件与职业不安全感表达的关联》研究数据  |  构建日期：2026-03-30  |  版本：v2.0,,,,,,,,,,
,,,,,,,,,,
event_id,event_date,event_type,event_type_cn,event_name,event_description,impact_level,media_coverage,source_url,keywords,notes
E011,2025-03-25,tech_positive,技术突破（正面）,Gemini 2.5 Pro 发布,Google发布Gemini 2.5 Pro，其'最智能的AI模型'，支持深度思考链推理能力。该模型在编程、数学和科学推理基准测试中刷新多项纪录，在AI Studio开放使用。,high,high,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025,Gemini 2.5;Google;推理模型;思考链,原有事件
E012,2025-03-29,tech_negative,技术事故（负面）,小米SU7智驾事故致3人死亡,一辆小米SU7在安徽铜陵高速路段发生致命事故，撞上隔离带水泥桩后起火，车内3名女大学生全部遇难。事故引发公众对智能驾驶安全性、'智能驾驶≠自动驾驶'的激烈讨论，小米CEO雷军沉默3天后公开道歉。,high,high,https://www.bbc.com/zhongwen/articles/c2lz9nq7eneo/simp,小米SU7;自动驾驶;事故;智能驾驶,★新增
E013,2025-04-29,job_negative,失业/裁员新闻,UPS裁员20000人,物流巨头UPS宣布2025年裁员20000人并关闭73个设施，自动化和AI技术效率提升是裁员重要驱动因素。此举涉及物流调度、客服和管理等多个岗位，是2025年最大规模的单次裁员之一。,high,high,https://www.cnn.com/2025/04/29/business/ups-job-cuts,UPS;裁员;自动化;物流,★新增
E014,2025-05-09,tech_positive,技术突破（正面）,Gemini 2.5 Flash 发布,Google在Cloud Next 2025大会上发布Gemini 2.5 Flash模型，具有低延迟、低成本和用户可控推理等优势。该模型面向企业级应用，进一步降低AI部署门槛。,medium,medium,https://aiexplainedhere.com/google-gemini-2-5-flash,Gemini Flash;Google Cloud;企业AI,★新增
E015,2025-05-22,tech_positive,技术突破（正面）,Anthropic Claude 4 发布,Anthropic发布新一代Claude模型：Claude Opus 4和Claude Sonnet 4，在编程、多模态理解和复杂任务执行方面达到新高度。Claude 4的推出进一步加剧了AI模型竞争格局。,high,high,https://www.anthropic.com/news/claude-4,Claude 4;Anthropic;编程AI;多模态,★新增
E016,2025-05-28,tech_positive,技术突破（正面）,DeepSeek-R1-0528 发布,DeepSeek发布R1模型更新版本（R1-0528），在数学推理、编程和多语言理解方面进一步提升性能，持续展现中国AI公司在开源模型领域的竞争力。,medium,medium,https://api-docs.deepseek.com/news/news250120,DeepSeek;开源模型;中国AI;推理,原有事件
E017,2025-06-10,tech_negative,技术事故（负面）,AI医疗辅助诊断安全争议,多家媒体报道AI医疗辅助诊断系统存在安全隐患。研究指出部分AI诊断模型对罕见病的误诊率偏高，深度学习模型的'黑箱'特性使得错误原因难以追溯，引发公众对AI医疗可靠性的担忧。,medium,medium,https://zhuanlan.zhihu.com/p/1888533118031467068,AI医疗;误诊;黑箱;安全,原有事件
E018,2025-06-15,job_negative,失业/裁员新闻,某制造企业AI自动化替代工人,某大型制造企业引入AI视觉检测和自动化产线系统，替代约3000名质检岗位工人，引发制造业'机器换人'的广泛讨论。该案例成为AI自动化冲击蓝领工人的典型案例。,medium,medium,,制造业;自动化;机器换人;质检,原有事件
E019,2025-07-10,job_negative,失业/裁员新闻,全球AI裁员潮加速蔓延,2025年上半年全球科技公司AI相关裁员已超4.5万人，Pinterest、陶氏化学、Block等企业接连以AI为名裁员。报告称2025年美国因AI相关裁员是两年前的12倍，AI裁员潮从科技行业向传统行业蔓延。,high,high,https://m.36kr.com/p/3708054052008073,AI裁员潮;科技公司;全球;自动化,★新增
E020,2025-08-02,policy_restrictive,限制性政策,欧盟AI法案通用AI规则生效,欧盟《人工智能法案》通用AI模型规则正式生效，要求ChatGPT、Gemini等基础模型的提供者遵守系统性风险评估、版权合规、透明度等义务。此法规影响全球AI企业的合规策略和运营模式。,high,medium,https://artificialintelligenceact.eu/implementation-timeline,欧盟AI法案;通用AI;合规;GPAI,★新增
E021,2025-08-07,tech_positive,技术突破（正面）,OpenAI GPT-5 发布,OpenAI正式发布GPT-5，在复杂推理、编程和代理任务方面实现重大飞跃，被称为'迄今最强AI模型'。GPT-5的推出进一步引发各行业对AI替代岗位的担忧，尤其是知识型工作领域。,high,high,https://openai.com/index/introducing-gpt-5,GPT-5;OpenAI;强AI;推理,★新增
E022,2025-08-21,policy_supportive,支持性政策,国务院'人工智能+'行动意见,国务院印发《关于深入实施'人工智能+'行动的意见》，提出到2027年实现AI与制造、教育、医疗等6大重点领域广泛深度融合。加大AI领域金融和财政支持力度，同时要求完善AI法律法规和伦理准则。,high,high,https://www.gov.cn/zhengce/content/202508/content_7037861.htm,国务院;人工智能+;产业政策;支持,★新增
E023,2025-09-02,job_negative,失业/裁员新闻,Salesforce AI替代4000客服岗位,Salesforce CEO Marc Benioff公开确认已用AI代理替代4000名客服员工，将客服团队从9000人缩减至5000人。此事件成为'AI直接替代白领岗位'的最典型案例之一，引发全球职场恐慌。,high,high,https://www.cnbc.com/2025/09/02/salesforce-ceo-confirms-4000-layoffs,Salesforce;AI替代;客服;白领,★新增
E024,2025-09-07,tech_negative,技术事故（负面）,Waymo自动驾驶首起致死事故,Waymo无人驾驶出租车在亚利桑那州Tempe市发生碰撞事故，一名摩托车手在涉及Waymo车辆的多车碰撞中死亡。这是全球首起涉及完全无人驾驶车辆的致死事件，引发社会对自动驾驶安全性的激烈辩论。,high,high,https://www.forbes.com/sites/bradtempleton/2025/09/14/waymo-involved-apparently-not-at-fault-in-motorcycle-fatality,Waymo;自动驾驶;致死事故;无人驾驶,★新增
E025,2025-09-15,policy_restrictive,限制性政策,中国AI内容标识办法正式施行,《人工智能生成合成内容标识办法》正式施行，要求所有AI生成的内容必须添加显式和隐式标识。该办法直接影响内容创作、社交媒体和媒体行业，被业界视为全球首个AI内容标识强制法规。,medium,high,https://www.cac.gov.cn/2024-09/14/c_1728000676244628.htm,AI标识;内容生成;网信办;合规,★新增
E026,2025-09-29,tech_positive,技术突破（正面）,Claude Opus 4.5 / Sonnet 4.5 发布,Anthropic发布Claude Opus 4.5和Sonnet 4.5升级版本，进一步提升编程、写作和推理能力，在多项基准测试中与GPT-5形成激烈竞争格局。,high,medium,https://endoflife.date/claude,Claude 4.5;Anthropic;AI竞争;升级,★新增
E027,2025-09-30,tech_positive,技术突破（正面）,OpenAI Sora 2 视频生成应用发布,OpenAI推出Sora 2模型及独立视频生成应用，可生成高度逼真的短视频内容，被形容为'AI版TikTok'。该产品在影视、广告、创意行业引发强烈震动，从业者担忧AI将大规模替代创意工作者。,high,high,https://techcrunch.com/2025/09/30/openai-is-launching-the-sora-app,Sora 2;OpenAI;视频生成;创意替代,★新增
E028,2025-10-22,job_negative,失业/裁员新闻,Meta AI部门裁员约600人,Meta宣布在其AI部门（Superintelligence Labs）裁员约600人进行组织重组，以提升AI研发效率。此举发生在Meta同时大规模招聘AI人才之际，引发对AI岗位'不稳定'的讨论。,medium,high,https://www.cnbc.com/2025/10/22/meta-layoffs-ai.html,Meta;AI裁员;组织重组;科技,★新增
E029,2025-10-27,job_negative,失业/裁员新闻,Chegg AI冲击裁员45%,教育科技公司Chegg宣布裁减388个岗位（占员工总数45%），原因是学生大量转向使用ChatGPT等AI工具替代传统作业辅导服务。此事件成为'AI直接摧毁整个商业模式'的典型案例。,high,high,https://www.reuters.com/sustainability/boards-policy-regulation/hit-by-ai-edtech-firm-chegg-slashes-jobs-names-new-ceo-major-overhaul-2025-10-27,Chegg;教育科技;AI替代;商业模式,★新增
E030,2025-10-28,job_negative,失业/裁员新闻,Amazon/AWS裁员14000人,Amazon宣布裁员约14000名企业员工，以AI技术推动组织精简为名进行大规模重组。裁员涉及AWS、Prime Video等多个部门，是2025年科技行业最大规模的裁员事件之一。,high,high,https://www.reuters.com/sustainability/amazon-lay-off-about-14000-roles-2025-10-28,Amazon;AWS;裁员;AI精简,★新增
E031,2025-11-05,job_negative,失业/裁员新闻,IBM AI重组裁员数千人,IBM宣布第四季度裁员数千人，将重心转向AI和软件业务。此前IBM CEO曾公开表示将在5年内用AI替代30%的后台办公岗位，此次裁员被认为是该战略的具体执行。,medium,medium,https://www.ciodive.com/news/ibm-layoffs-2025-AI-software/804812,IBM;AI替代;后台办公;重组,★新增
E032,2025-11-10,policy_supportive,支持性政策,国务院AI场景培育政策吹风会,国务院新闻办公室举行政策例行吹风会，介绍加快AI场景培育和开放应用的措施。多部门联合发布AI+制造、AI+医疗等场景应用指南，推动AI技术从实验室走向实际产业应用。,medium,medium,http://www.scio.gov.cn/live/2025/37638/index.html,国务院;AI场景;产业应用;政策,★新增
E033,2025-12-11,tech_positive,技术突破（正面）,GPT-5.2 / Gemini 3 发布季,OpenAI发布GPT-5.2，Google发布Gemini 3.0，Anthropic发布Claude Opus 4.1。三大AI公司在两周内相继发布重大模型更新，被业界称为'AI军备竞赛白热化'，加剧公众对AI快速发展速度的焦虑。,high,high,https://vertu.com/lifestyle/the-ai-model-race-reaches-singularity-speed,GPT-5.2;Gemini 3;Claude 4.1;模型竞争,★新增
E034,2026-01-08,tech_negative,技术事故（负面）,最高法警示AI深度伪造犯罪激增,新华网报道AI换脸、深度伪造技术被大量滥用于电信诈骗、色情视频制作等领域。最高法发布警示指出，2021至2025年诈骗刑事案件从5.2万件增长至9.4万件，AI技术滥用是重要推动因素。,high,high,https://www.chinanews.com.cn/sh/2026/02-26/10576962.shtml,AI换脸;深度伪造;最高法;犯罪,★新增
E035,2026-01-20,job_positive,就业增长新闻,全球AI产业就业逆势增长,多份行业报告显示，尽管AI导致部分岗位被替代，但全球AI产业自身创造了大量新岗位。数据显示AI训练师、AI安全工程师、提示工程师等新兴职业需求同比增长超过50%，AI产业成为全球新增就业的重要引擎。,medium,medium,https://www.firstpost.com/tech/ai-job-loss-fears-vs-reality,AI就业;新职业;技能转型;增长,★新增
E036,2026-02-05,report_alarming,警示性报告,牛津研究：AI直接导致4.5%裁员,牛津大学发布研究报告指出，2025年全球裁员事件中有约4.5%直接归因于AI技术采用。研究还发现近60%的公司已因'AI潜力预期'而提前裁员，远超AI实际替代的速度，引发'AI恐慌性裁员'的学术讨论。,medium,high,https://explodingtopics.com/blog/ai-replacing-jobs,牛津大学;AI裁员;恐慌性裁员;研究,★新增
E037,2026-02-18,policy_restrictive,限制性政策,中国AI深度伪造治理新规出台,中国多部门联合出台AI深度伪造治理新规，加强对AI换脸、声音克隆等技术应用的监管。要求AI服务提供者建立内容溯源机制，违规使用深度伪造技术可追究刑事责任。,medium,medium,https://news.qq.com/rain/a/20260315A06XA500,深度伪造;治理;监管;刑事责任,★新增
E038,2026-03-18,report_alarming,警示性报告,高盛AI就业影响报告,高盛发布AI对美国劳动力市场影响的最新报告，估计全球约3亿全职岗位面临自动化风险。在基准情景下，预计6-7%的劳动者将在十年内受到影响，AI对白领岗位的冲击尤为显著。,high,high,https://www.goldmansachs.com/insights/articles/how-will-ai-affect-the-us-labor-market,高盛;AI就业;自动化;白领冲击,★新增
E039,2026-03-25,job_negative,失业/裁员新闻,全球科技企业新一轮AI裁员潮,2026年初全球科技企业在不到3个月内累计裁员近60000人，AI驱动的自动化转型是核心因素。Meta、微软等公司被曝计划进一步裁员，HBR报道指出60%的公司已因'AI潜力预期'而非AI实际表现而裁员。,high,high,https://digiconasia.net/news/global-tech-firms-cut-59121-jobs-in-early-2026-amid-ai-driven-layoffs-reports,AI裁员潮;科技企业;2026;全球化,★新增
E040,2026-03-30,job_negative,失业/裁员新闻,硅谷AI裁员反思潮,虎嗅、钛媒体等中文媒体集中报道AI裁员潮的反思现象：多家曾以AI替代员工的企业因运营困难开始返聘被裁员工。报道指出23万大厂员工被AI替代后约5.3%获返聘且薪资上涨25%-28%，引发'AI替代是否过度'的社会反思。,high,high,https://www.huxiu.com/article/4846404.html,AI裁员反思;返聘;过度替代;虎嗅,★新增
